Date,Description,Withdrawal,Deposit,Category,deposit,Unnamed: 4,Amount
2024-03-25,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 408311129884 20140.68 INR @ 0,335.0,,GlobalTransfers,,,
2024-03-22,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 408200052902 54180.96 INR @ 0,900.0,,GlobalTransfers,,,
2024-03-22,Electronic Funds Transfer PAY TCS CA PAYROLL TATA CONSULTANCY SERVICES,,2913.15,Income,,,
2024-03-21,Internet Banking E-TRANSFER 010957706581 Newton,,474.51,Etransfers,,,
2024-03-21,Internet Banking INTERNET TRANSFER 000000122901,100.0,,CreditCards,,,
2024-03-20,Internet Banking INTERNET BILL PAY 000000139305 FLEXITI FINANCIAL/FINANCI,286.57,,HomeImprovement,,,
2024-03-20,Internet Banking E-TRANSFER 010956665313 SRIKANTH CHITTAREDDY,,26.0,Etransfers,,,
2024-03-19,Internet Banking E-TRANSFER 010956121839 Arjun CIBC,,222.0,Etransfers,,,
2024-03-19,Automated Banking Machine ATM WITHDRAWAL DURHAM BANKING CENTRE 3D15,200.0,,Cash,,,
2024-03-18,Electronic Funds Transfer PREAUTHORIZED DEBIT IND ALL LIFE IN,167.85,,Insurance,,,
2024-03-18,Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE ARTESANIA-BOD.D 407814949539 158.52 USD @ 1.389604,220.28,,Other,,,
2024-03-15,Electronic Funds Transfer PREAUTHORIZED DEBIT Town of Ajax,570.96,,Tax-Property,,,
2024-03-15,Internet Banking E-TRANSFER 010951624657 Santo Meridian,250.0,,Etransfers,,,
2024-03-14,Internet Banking INTERNET TRANSFER 000000122901,100.0,,CreditCards,,,
2024-03-14,Internet Banking INTERNET TRANSFER 000000118687,600.0,,CreditCards,,,
2024-03-12,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,490.53,,Maintenance-Car,,,
2024-03-12,Electronic Funds Transfer PREAUTHORIZED DEBIT INVESTMENT CIBCSI EFT-PAC,500.0,,Investments,,,
2024-03-12,Branch Transaction WITHDRAWAL IBB WESTNEY HEIGHTS PLAZA BANKING,141.1,,Cash,,,
2024-03-12,Automated Banking Machine ATM WITHDRAWAL 104 HARWOOD AVE S 3A55,100.0,,Cash,,,
2024-03-12,Internet Banking E-TRANSFER 010950659953 DSD Kanrat Inc.,,5000.0,Etransfers,,,
2024-03-11,Electronic Funds Transfer MORTGAGE PAYMENT MTG003401212.1 CMI,1682.83,,Mortgage,,,
2024-03-11,Internet Banking INTERNET TRANSFER 000000117360,232.88,,CreditCards,,,
2024-03-11,Internet Banking INTERNET TRANSFER 000000116933,1372.44,,CreditCards,,,
2024-03-11,Internet Banking E-TRANSFER 104914172569 Ravi IPTV,60.0,,Etransfers,,,
2024-03-08,Internet Banking INTERNET TRANSFER 000000202497,290.14,,CreditCards,,,
2024-03-08,Internet Banking E-TRANSFER 104912898523 Dance Payment,130.0,,Etransfers,,,
2024-03-08,Electronic Funds Transfer PAY TCS CA PAYROLL TATA CONSULTANCY SERVICES,,2913.15,Income,,,
2024-03-07,Internet Banking INTERNET TRANSFER 000000122901,100.0,,CreditCards,,,
2024-03-06,Electronic Funds Transfer PREAUTHORIZED DEBIT UNICA,186.64,,Insurance,,,
2024-03-06,Electronic Funds Transfer PREAUTHORIZED DEBIT UNICA,134.03,,Insurance,,,
2024-03-05,Electronic Funds Transfer PREAUTHORIZED DEBIT CERTAS HOME &AUTO INSURANCE CO,131.42,,Insurance,,,
2024-03-04,Electronic Funds Transfer PREAUTHORIZED DEBIT Pre-authorized ENBRIDGE,172.0,,Utilities,,,
2024-03-04,Point of Sale - Interac RETAIL PURCHASE 001001001628 NEW SPICELAND S,51.52,,Groceries,,,
2024-03-04,Point of Sale - Interac RETAIL PURCHASE 001001001977 NEW SPICELAND R,12.18,,Groceries,,,
2024-03-01,Electronic Funds Transfer DEPOSIT IND ALL AC-TOR,,91.53,Deposit-Insurance,,,
2024-03-01,Internet Banking E-TRANSFER 010933652231 Santo Meridian,250.0,,Etransfers,,,
2024-02-29,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,16.95,,BankFees,,,
2024-02-29,Internet Banking INTERNET TRANSFER 000000122901,100.0,,CreditCards,,,
2024-02-28,Electronic Funds Transfer PREAUTHORIZED DEBIT ELEXICON ENERGY INC,103.0,,Utilities,,,
2024-02-27,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,490.53,,Maintenance-Car,,,
2024-02-26,Electronic Funds Transfer MORTGAGE PAYMENT MTG003401212.1 CMI,1682.83,,Mortgage,,,
2024-02-26,"Internet Banking INTERNET BILL PAY 000000219982 VISA, TD/BANQUE TD",229.81,,CreditCards,,,
2024-02-23,Electronic Funds Transfer PAY TCS CA PAYROLL TATA CONSULTANCY SERVICES,,2913.15,Income,,,
2024-02-22,Point of Sale - Interac RETAIL PURCHASE 405316463156 GREAT CLIPS 348,56.5,,Healthcare,,,
2024-02-22,Internet Banking INTERNET TRANSFER 000000122901,100.0,,CreditCards,,,
2024-02-21,Electronic Funds Transfer PREAUTHORIZED DEBIT DURHAM REGION,320.17,,Utilities,,,
2024-02-21,Internet Banking E-TRANSFER 104891818572 Dami House Cleaning,120.0,,Etransfers,,,
2024-02-20,Internet Banking INTERNET BILL PAY 000000139305 FLEXITI FINANCIAL/FINANCI,286.57,,HomeImprovement,,,
2024-02-16,Electronic Funds Transfer PREAUTHORIZED DEBIT IND ALL LIFE IN,167.85,,Insurance,,,
2024-02-16,Internet Banking E-TRANSFER 010932057193 SANTHOSH KANAKAPPAN,,2000.0,Etransfers,,,
2024-02-16,Internet Banking E-TRANSFER 010916261319 Santo Meridian,250.0,,Etransfers,,,
2024-02-15,Electronic Funds Transfer PREAUTHORIZED DEBIT Town of Ajax,570.96,,Tax-Property,,,
2024-02-15,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,1000.0,,Maintenance-Car,,,
2024-02-15,Internet Banking INTERNET TRANSFER 000000122901,100.0,,CreditCards,,,
2024-02-13,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,490.53,,Maintenance-Car,,,
2024-02-13,Electronic Funds Transfer PREAUTHORIZED DEBIT INVESTMENT CIBCSI EFT-PAC,500.0,,Investments,,,
2024-02-13,Internet Banking E-TRANSFER 010887956526 SANTHOSH KANAKAPPAN,,3000.0,Etransfers,,,
2024-02-12,Electronic Funds Transfer MORTGAGE PAYMENT MTG003401212.1 CMI,1682.83,,Mortgage,,,
2024-02-12,Internet Banking INTERNET TRANSFER 000000221539,308.12,,CreditCards,,,
2024-02-12,Internet Banking INTERNET TRANSFER 000000211607,1574.79,,CreditCards,,,
2024-02-12,Internet Banking E-TRANSFER 104882370191 Dance Payment,130.0,,Etransfers,,,
2024-02-12,Internet Banking E-TRANSFER 010928983929 ARUNDAS M RAMAMOHANDAS,,15.0,Etransfers,,,
2024-02-09,Electronic Funds Transfer PAY TCS CA PAYROLL TATA CONSULTANCY SERVICES,,2913.15,Income,,,
2024-02-08,Internet Banking E-TRANSFER 104878274586 MadrasBatter,94.0,,Etransfers,,,
2024-02-08,Internet Banking INTERNET TRANSFER 000000122901,100.0,,CreditCards,,,
2024-02-06,Electronic Funds Transfer PREAUTHORIZED DEBIT UNICA,134.03,,Insurance,,,
2024-02-06,Electronic Funds Transfer PREAUTHORIZED DEBIT UNICA,186.64,,Insurance,,,
2024-02-05,Electronic Funds Transfer PREAUTHORIZED DEBIT Pre-authorized ENBRIDGE,172.0,,Utilities,,,
2024-02-05,Internet Banking E-TRANSFER 104874044571 Sudhir Badminton,42.73,,Etransfers,,,
2024-02-05,"Internet Banking INTERNET BILL PAY 000000123550 VISA, TD/BANQUE TD",743.12,,CreditCards,,,
2024-02-01,Internet Banking E-TRANSFER 010921267671 SANTHOSH KANAKAPPAN,,1500.0,Etransfers,,,
2024-02-01,Internet Banking INTERNET TRANSFER 000000122901,100.0,,CreditCards,,,
2024-01-31,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,16.95,,BankFees,,,
2024-01-31,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 403021396393,100.0,,GlobalTransfers,,,
2024-01-31,Internet Banking INTERNET TRANSFER 000000106151,867.9,,CreditCards,,,
2024-01-30,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,490.53,,Maintenance-Car,,,
2024-01-30,Automated Banking Machine ATM WITHDRAWAL 104 HARWOOD AVE S 4C91,100.0,,Cash,,,
2024-01-29,Electronic Funds Transfer MORTGAGE PAYMENT MTG003401212.1 CMI,1682.83,,Mortgage,,,
2024-01-29,Electronic Funds Transfer PREAUTHORIZED DEBIT ELEXICON ENERGY INC,103.0,,Utilities,,,
2024-01-29,Point of Sale - Interac RETAIL PURCHASE 995526290129 BLS INTERNATION,217.6,,Other,,,
2024-01-26,Electronic Funds Transfer PAY TCS CA PAYROLL TATA CONSULTANCY SERVICES,,2913.15,Income,,,
2024-01-24,Internet Banking E-TRANSFER 104860376521 Sudhir Badminton,38.73,,Etransfers,,,
2024-01-23,Branch Transaction PREAUTHORIZED DEBIT IBB CIBC MORTGAGE SERVICING CENTRE,500.0,,Mortgage,,,
2024-01-22,Branch Transaction PREAUTHORIZED DEBIT IBB CIBC MORTGAGE SERVICING CENTRE,1000.0,,Mortgage,,,
2024-01-22,Internet Banking E-TRANSFER 010912271919 SANTHOSH KANAKAPPAN,,2400.0,Etransfers,,,
2024-01-22,Internet Banking INTERNET TRANSFER 000000122427,2389.84,,CreditCards,,,
2024-01-22,Internet Banking INTERNET BILL PAY 000000139305 FLEXITI FINANCIAL/FINANCI,286.57,,HomeImprovement,,,
2024-01-17,Internet Banking E-TRANSFER 104853001057 Dami House Cleaning,140.0,,Etransfers,,,
2024-01-17,Automated Banking Machine ATM WITHDRAWAL 20 YORK STREET 3C41,60.0,,Cash,,,
2024-01-16,Electronic Funds Transfer PREAUTHORIZED DEBIT IND ALL LIFE IN,167.85,,Insurance,,,
2024-01-16,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,490.53,,Maintenance-Car,,,
2024-01-16,Automated Banking Machine ATM WITHDRAWAL THICKSON + GLEN HILL 4G90,100.0,,Cash,,,
2024-01-15,Electronic Funds Transfer MORTGAGE PAYMENT MTG003401212.1 CMI,1682.83,,Mortgage,,,
2024-01-15,Electronic Funds Transfer PREAUTHORIZED DEBIT Town of Ajax,570.96,,Tax-Property,,,
2024-01-15,Internet Banking E-TRANSFER 104848655902 Dileep,10.29,,Etransfers,,,
2024-01-15,Electronic Funds Transfer DEPOSIT CANADA,,244.0,Deposit-TaxRefunds,,,
2024-01-15,Internet Banking E-TRANSFER 010865803114 DILEEP BHANUPRAKSH,,10.29,Etransfers,,,
2024-01-12,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,500.0,,Maintenance-Car,,,
2024-01-12,Electronic Funds Transfer PAY TCS CA PAYROLL TATA CONSULTANCY SERVICES,,2913.15,Income,,,
2024-01-11,Electronic Funds Transfer PREAUTHORIZED DEBIT INVESTMENT CIBCSI EFT-PAC,500.0,,Investments,,,
2024-01-10,Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 401011117630,100.0,,GlobalTransfers,,,
2024-01-09,Internet Banking E-TRANSFER 104844077757 Dance Payment,130.0,,Etransfers,,,
2024-01-08,Electronic Funds Transfer PREAUTHORIZED DEBIT UNICA,134.03,,Insurance,,,
2024-01-08,Electronic Funds Transfer PREAUTHORIZED DEBIT UNICA,186.64,,Insurance,,,
2024-01-08,Internet Banking E-TRANSFER 010862686176 Arjun CIBC,,85.43,Etransfers,,,
2024-01-08,Internet Banking E-TRANSFER 104841982149 Sudhir Badminton,41.85,,Etransfers,,,
2024-01-08,Internet Banking E-TRANSFER 010902985189 ANURADHA KRISHNAMURTHY,,62.0,Etransfers,,,
2024-01-08,Internet Banking INTERNET TRANSFER 000000119854,327.62,,CreditCards,,,
2024-01-04,Point of Sale - Interac RETAIL PURCHASE 001001001751 NEW SPICELAND S,113.45,,Groceries,,,
2024-01-02,Electronic Funds Transfer MORTGAGE PAYMENT MTG003401212.1 CMI,1682.83,,Mortgage,,,
2024-01-02,Electronic Funds Transfer PREAUTHORIZED DEBIT Pre-authorized ENBRIDGE,172.0,,Utilities,,,
2024-01-02,Electronic Funds Transfer PREAUTHORIZED DEBIT ARCHIVE+8 ACURA FINANCIAL SERVICES,490.53,,Maintenance-Car,,,
2024-04-26,PURCHASE INTEREST,106.04,,Other,,4500********5028,
2024-04-26,ANNUAL FEE,139.0,,BankFees,,4500********5028,
2024-04-26,"TELUS MOBILITY PREAUTH 403-5303586, AB",171.94,,Phone,,4500********5028,
2024-04-24,"FREEDOM MOBILE 877-946-3184, ON",67.8,,Phone,,4500********5028,
2024-04-24,"LUCKY MOBILE MISSISSAUGA, ON",16.95,,Phone,,4500********5028,
2024-04-19,"WEED MAN 416-2698333, ON",33.84,,Maintenance-Home,,4500********5028,
2024-04-16,PAYMENT THANK YOU/PAIEMEN T MERCI,,,Other,500.0,4500********5028,
2024-04-15,"BELL CANADA (OB) MONTREAL, QC",62.15,,Internet,,4500********5028,
2024-04-10,"TELUS PRE-AUTH PAYMENT EDMONTON, AB",45.2,,Phone,,4500********5028,
2024-04-03,"GOOGLE *YouTubePremium g.co/helppay#, NS",25.98,,Subscription,,4500********5028,
2024-03-27,"TELUS MOBILITY PREAUTH 403-5303586, AB",135.78,,Phone,,4500********5028,
2024-03-25,"FREEDOM MOBILE 877-946-3184, ON",67.8,,Phone,,4500********5028,
2024-03-25,"THE HOME DEPOT #7109 AJAX, ON",67.21,,Stationery,,4500********5028,
2024-03-25,"LUCKY MOBILE MISSISSAUGA, ON",16.95,,Phone,,4500********5028,
2024-03-25,"JOY HEALTH STUDIO WHITBY, ON",11.3,,Healthcare,,4500********5028,
2024-03-22,"RELIANCE HOME COMFORT TORONTO, ON",297.28,,Utilities,,4500********5028,
2024-03-15,"TIM HORTONS TORONTO, ON",5.0,,Dining,,4500********5028,
2024-03-15,"TIM HORTONS TORONTO, ON",50.0,,Dining,,4500********5028,
2024-03-15,"TELUS COMM. WEB EDMONTON, AB",139.71,,Phone,,4500********5028,
2024-03-12,PAYMENT THANK YOU/PAIEMEN T MERCI,,,Other,232.88,4500********5028,
2024-03-11,"DOLLARAMA # 834 WHITBY, ON",63.56,,Stationery,,4500********5028,
2024-03-11,"DYNACARE PORTAL BRAMPTON, ON",11.29,,Healthcare,,4500********5028,
2024-03-07,"LANDMARK WEB TICKETING 403-262-4255, AB",77.37,,Entertainment,,4500********5028,
2024-03-07,"SUNWING VACATIONS TORONTO, ON",3020.0,,Travel,,4500********5028,
2024-03-04,"GOOGLE *YouTubePremium g.co/helppay#, NS",25.98,,Subscription,,4500********5028,
2024-02-26,"LUCKY MOBILE MISSISSAUGA, ON",16.95,,Phone,,4500********5028,
2024-02-22,"RELIANCE HOME COMFORT TORONTO, ON",158.19,,Utilities,,4500********5028,
2024-02-15,AMAZON PAY INDIA PRIVATET Bangalore,31.76,,HomeImprovement,,4500********5028,
2024-02-13,PAYMENT THANK YOU/PAIEMEN T MERCI,,,Other,308.12,4500********5028,
2024-02-05,"GOOGLE *YouTubePremium g.co/helppay#, NS",25.98,,Subscription,,4500********5028,
2024-01-26,PURCHASE INTEREST,4.5,,Other,,4500********5028,
2024-01-24,"LUCKY MOBILE MISSISSAUGA, ON",16.95,,Phone,,4500********5028,
2024-01-23,PAYMENT THANK YOU/PAIEMEN T MERCI,,,Other,2389.84,4500********5028,
2024-01-22,"RELIANCE HOME COMFORT TORONTO, ON",158.19,,Utilities,,4500********5028,
2024-01-17,AMAZON PAY INDIA Pvt Ltd Bangalore 1243.00 INR @ .016588,20.62,,HomeImprovement,,4500********5028,
2024-01-15,PAY WITH POINTS/PAIEMENT PAR POINTS,,,Other,600.0,4500********5028,
2024-01-03,"GOOGLE *YouTubePremium g.co/helppay#, NS",25.98,,Subscription,,4500********5028,
2024-01-02,"DRAIN KING PLUMBERS NORTH YORK, ON",555.0,,Maintenance-Home,,4500********5028,
2024-04-30,"SQ *HARVEST GREEN Toronto, ON",14.41,,Dining,,5268********5526,
2024-04-30,"IKEA.CA ONLINE BURLINGTON, ON",18.51,,HomeImprovement,,5268********5526,
2024-04-29,"ESSO CIRCLE K SCARBOROUGH, ON",92.8,,Gas,,5268********5526,
2024-04-29,"ANJAPPAR CHETTINAD RES SCARBOROUGH, ON",122.07,,Dining,,5268********5526,
2024-04-29,"TIM HORTONS #3490 NORTH YORK, ON",11.1,,Dining,,5268********5526,
2024-04-29,"SHOPPERS DRUG MART #12 AJAX, ON",22.91,,Healthcare,,5268********5526,
2024-04-26,"THE OWL OF MINERVA PICKERING, ON",63.25,,Dining,,5268********5526,
2024-04-26,"NEW SPICELAND RESTAURA AJAX, ON",23.45,,Groceries,,5268********5526,
2024-04-25,"PRESTO AUTL TORONTO, ON",100.0,,Travel,,5268********5526,
2024-04-24,"NEW SPICELAND RESTAURA AJAX, ON",23.7,,Groceries,,5268********5526,
2024-04-22,"UBER CANADA/UBEREATS TORONTO, ON",5.0,,Dining,,5268********5526,
2024-04-22,"UBER CANADA/UBEREATS TORONTO, ON",38.08,,Dining,,5268********5526,
2024-04-22,"MCDONALD'S #22566 Q04 AJAX, ON",14.11,,Dining,,5268********5526,
2024-04-19,"AMZN Mktp CA WWW.AMAZON.CA, ON",,10.0,HomeImprovement,,5268********5526,
2024-04-19,"PETRO CANADA04879 WHITBY, ON",25.14,,Gas,,5268********5526,
2024-04-19,"PETRO CANADA04879 WHITBY, ON",61.29,,Gas,,5268********5526,
2024-04-19,"JOY HEALTH STUDIO WHITBY, ON",45.2,,Healthcare,,5268********5526,
2024-04-18,"DOLLARAMA # 881 AJAX, ON",6.78,,Stationery,,5268********5526,
2024-04-18,"THE BAGEL STOP TORONTO, ON",9.77,,Dining,,5268********5526,
2024-04-15,"WAL-MART #3001 AJAX, ON",105.07,,Groceries,,5268********5526,
2024-04-15,"WAL-MART #3001 AJAX, ON",1.97,,Groceries,,5268********5526,
2024-04-15,"LITTLE CAESARS AJAX, ON",34.44,,Dining,,5268********5526,
2024-04-12,"COSTCO GAS W159 AJAX, ON",83.79,,Gas,,5268********5526,
2024-04-11,"TIM HORTONS APP TORONTO, ON",50.0,,Dining,,5268********5526,
2024-04-11,"SQ *HARVEST GREEN Toronto, ON",14.41,,Dining,,5268********5526,
2024-04-10,"AMZN Mktp CA*F381057X3 WWW.AMAZON.CA, ON",124.29,,HomeImprovement,,5268********5526,
2024-04-09,"PANCHVATI SUPERMARKET AJAX, ON",23.96,,Groceries,,5268********5526,
2024-04-09,"WAL-MART #3001 AJAX, ON",191.34,,Groceries,,5268********5526,
2024-04-09,PAYMENT THANK YOU/PAIEMEN T MERCI,,2794.68,Other,,5268********5526,
2024-04-08,"COSTCO WHOLESALE W159 AJAX, ON",193.7,,Groceries,,5268********5526,
2024-04-08,"MADURAI SAMAYAL AJAX, ON",161.59,,Dining,,5268********5526,
2024-04-08,"NEW SPICELAND RESTAURA AJAX, ON",43.8,,Groceries,,5268********5526,
2024-04-08,"AJAX IQBAL FOODS AJAX, ON",17.98,,Groceries,,5268********5526,
2024-04-08,"LCBO/RAO #771 AJAX, ON",31.95,,Groceries,,5268********5526,
2024-04-03,"AMZN Mktp CA*FD3S16R33 WWW.AMAZON.CA, ON",68.31,,HomeImprovement,,5268********5526,
2024-04-03,"UBER CANADA/UBERCASH TORONTO, ON",50.0,,Travel,,5268********5526,
2024-04-03,"7 ELEVEN STORE #26206 PICKERING, ON",18.5,,Groceries,,5268********5526,
2024-04-02,"COSTCO GAS W159 AJAX, ON",91.11,,Gas,,5268********5526,
2024-04-02,"SAI SWEETS & RESTAURAN BRAMPTON, ON",6.13,,Dining,,5268********5526,
2024-04-02,"SAI SWEETS & RESTAURAN BRAMPTON, ON",15.38,,Dining,,5268********5526,
2024-04-01,"WAL-MART #3001 AJAX, ON",15.8,,Groceries,,5268********5526,
2024-04-01,"LITTLE CAESARS AJAX, ON",42.78,,Dining,,5268********5526,
2024-04-01,"DAISY MART WHITBY, ON",18.36,,Groceries,,5268********5526,
2024-04-01,"NEW SPICELAND RESTAURA AJAX, ON",47.15,,Groceries,,5268********5526,
2024-03-28,"AMZN Mktp CA*NP9LN4RH3 WWW.AMAZON.CA, ON",37.28,,HomeImprovement,,5268********5526,
2024-03-28,"PANCHVATI SUPERMARKET AJAX, ON",38.61,,Groceries,,5268********5526,
2024-03-28,"ROSSLAND ESSO AJAX, ON",19.84,,Gas,,5268********5526,
2024-03-27,"UBER* EATS TORONTO, ON",60.34,,Other,,5268********5526,
2024-03-27,"TACO BELL # 6320 WHITBY, ON",7.9,,Dining,,5268********5526,
2024-03-26,"SQ *HARVEST GREEN Toronto, ON",12.71,,Dining,,5268********5526,
2024-03-25,"La Casita Del Cafe ajax, ON",17.11,,Dining,,5268********5526,
2024-03-25,"PANCHVATI SUPERMARKET AJAX, ON",106.31,,Groceries,,5268********5526,
2024-03-25,"PlayStation Network San Mateo, CA",47.45,,Subscription,,5268********5526,
